State,Gun_Law_Rank
Alabama,5
Alaska,5
Arizona,5
Arkansas,5
California,1
Colorado,2
Connecticut,1
Delaware,2
Distict of Columbia,N/A
Florida,4
Georgia,5
Hawaii,2
Idaho,5
Illinois,2
Indiana,4
Iowa,5
Kansas,5
Kentucky,5
Louisiana,5
Maine,4
Maryland,2
Massachusetts,1
Michigan,2
Minnesota,2
Mississippi,5
Missouri,5
Montana,5
Nebraska,4
Nevada,3
New Hampshire,4
New Jersey,1
New Mexico,3
New York,1
North Carolina,4
North Dakota,5
Ohio,4
Oklahoma,5
Oregon,2
Pennsylvania,2
Rhode Island,2
South Carolina,4
South Dakota,5
Tennessee,5
Texas,5
Utah,5
Vermont,2
Virginia,2
Washington,2
West Virginia,5
Wisconsin,3
Wyoming,5
