Reporter Name,Partner Name,Status,Year,Trade Flow,Product Group,Import (US$ Thousand)
United States,Canada,Ally,2022,Import,Minerals,2533752.16
United States,Turkey,Ally,2022,Import,Minerals,1013493.66
United States,Mexico,Ally,2022,Import,Minerals,915893.72
United States,Peru,Neutral,2022,Import,Minerals,774964.14
United States,Brazil,Neutral,2022,Import,Minerals,644842.54
United States,China,Competitor,2022,Import,Minerals,644334.2
United States,South Africa,Neutral,2022,Import,Minerals,516452.76
United States,Australia,Ally,2022,Import,Minerals,347149.44
United States,Vietnam,Neutral,2022,Import,Minerals,328189.55
United States,Chile,Neutral,2022,Import,Minerals,308066.6
United States,United Kingdom,Ally,2022,Import,Minerals,234495.75
United States,Greece,Ally,2022,Import,Minerals,220393.63
United States,Sweden,Ally,2022,Import,Minerals,191786.4
United States,India,Neutral,2022,Import,Minerals,163281.82
United States,Spain,Ally,2022,Import,Minerals,159246.46
United States,Germany,Ally,2022,Import,Minerals,159102.71
United States,Italy,Ally,2022,Import,Minerals,116716.87
United States,Japan,Ally,2022,Import,Minerals,114321.53
United States,France,Ally,2022,Import,Minerals,106379.44
United States,United Arab Emirates,Neutral,2022,Import,Minerals,103169.59
United States,"Korea, Rep.",Ally,2022,Import,Minerals,100202.44
United States,Netherlands,Ally,2022,Import,Minerals,93738.86
United States,"Egypt, Arab Rep.",Neutral,2022,Import,Minerals,93156.06
United States,Colombia,Ally,2022,Import,Minerals,92016.04
United States,Pakistan,Neutral,2022,Import,Minerals,90868.27
United States,Poland,Ally,2022,Import,Minerals,83661.46
United States,Gabon,Neutral,2022,Import,Minerals,83310.77
United States,Madagascar,Neutral,2022,Import,Minerals,80414.68
United States,Saudi Arabia,Neutral,2022,Import,Minerals,74360.28
United States,Jamaica,Neutral,2022,Import,Minerals,72321.01
United States,"Bahamas, The",Neutral,2022,Import,Minerals,68879.82
United States,Namibia,Neutral,2022,Import,Minerals,63972.95
United States,Kenya,Neutral,2022,Import,Minerals,62260.9
United States,Mozambique,Neutral,2022,Import,Minerals,58523.54
United States,Norway,Ally,2022,Import,Minerals,57545.15
United States,Guyana,Neutral,2022,Import,Minerals,57435.58
United States,Thailand,Neutral,2022,Import,Minerals,55276.6
United States,Ukraine,Ally,2022,Import,Minerals,53192.98
United States,Bolivia,Neutral,2022,Import,Minerals,52952.27
United States,Qatar,Neutral,2022,Import,Minerals,52251.79
United States,"Other Asia, nes",Neutral,2022,Import,Minerals,49783.73
United States,Senegal,Neutral,2022,Import,Minerals,45780.73
United States,Ireland,Ally,2022,Import,Minerals,45610.08
United States,Israel,Ally,2022,Import,Minerals,41829.12
United States,Russia,Competitor,2022,Import,Minerals,33720.98
United States,Morocco,Neutral,2022,Import,Minerals,33223.42
United States,New Zealand,Ally,2022,Import,Minerals,30862.96
United States,"Hong Kong, China",Neutral,2022,Import,Minerals,30771.91
United States,Tunisia,Neutral,2022,Import,Minerals,21891.3
United States,Portugal,Neutral,2022,Import,Minerals,21788.38
United States,Honduras,Neutral,2022,Import,Minerals,21538.41
United States,Belgium,Neutral,2022,Import,Minerals,21092.77
United States,Dominican Republic,Neutral,2022,Import,Minerals,20645.56
United States,Malaysia,Neutral,2022,Import,Minerals,19776.82
United States,Algeria,Neutral,2022,Import,Minerals,18262.41
United States,Bahrain,Neutral,2022,Import,Minerals,17802.25
United States,Croatia,Neutral,2022,Import,Minerals,16916.93
United States,Kazakhstan,Neutral,2022,Import,Minerals,15937.08
United States,"Congo, Dem. Rep.",Neutral,2022,Import,Minerals,13456.52
United States,Cyprus,Neutral,2022,Import,Minerals,10392.24
