Reporter Name,Partner Name,Year,Trade Flow,Product Group,Import (US$ Thousand)
United States,Canada,2022,Import,Minerals,2533752.16
United States,Turkey,2022,Import,Minerals,1013493.66
United States,Mexico,2022,Import,Minerals,915893.72
United States,Peru,2022,Import,Minerals,774964.14
United States,Brazil,2022,Import,Minerals,644842.54
United States,China,2022,Import,Minerals,644334.2
United States,South Africa,2022,Import,Minerals,516452.76
United States,Australia,2022,Import,Minerals,347149.44
United States,Vietnam,2022,Import,Minerals,328189.55
United States,Chile,2022,Import,Minerals,308066.6
United States,United Kingdom,2022,Import,Minerals,234495.75
United States,Greece,2022,Import,Minerals,220393.63
United States,Sweden,2022,Import,Minerals,191786.4
United States,India,2022,Import,Minerals,163281.82
United States,Spain,2022,Import,Minerals,159246.46
United States,Germany,2022,Import,Minerals,159102.71
United States,Italy,2022,Import,Minerals,116716.87
United States,Japan,2022,Import,Minerals,114321.53
United States,France,2022,Import,Minerals,106379.44
United States,United Arab Emirates,2022,Import,Minerals,103169.59
United States,"Korea, Rep.",2022,Import,Minerals,100202.44
United States,Netherlands,2022,Import,Minerals,93738.86
United States,"Egypt, Arab Rep.",2022,Import,Minerals,93156.06
United States,Colombia,2022,Import,Minerals,92016.04
United States,Pakistan,2022,Import,Minerals,90868.27
United States,Poland,2022,Import,Minerals,83661.46
United States,Gabon,2022,Import,Minerals,83310.77
United States,Madagascar,2022,Import,Minerals,80414.68
United States,Saudi Arabia,2022,Import,Minerals,74360.28
United States,Jamaica,2022,Import,Minerals,72321.01
United States,"Bahamas, The",2022,Import,Minerals,68879.82
United States,Namibia,2022,Import,Minerals,63972.95
United States,Kenya,2022,Import,Minerals,62260.9
United States,Mozambique,2022,Import,Minerals,58523.54
United States,Norway,2022,Import,Minerals,57545.15
United States,Guyana,2022,Import,Minerals,57435.58
United States,Thailand,2022,Import,Minerals,55276.6
United States,Ukraine,2022,Import,Minerals,53192.98
United States,Bolivia,2022,Import,Minerals,52952.27
United States,Qatar,2022,Import,Minerals,52251.79
United States,"Other Asia, nes",2022,Import,Minerals,49783.73
United States,Senegal,2022,Import,Minerals,45780.73
United States,Ireland,2022,Import,Minerals,45610.08
United States,Israel,2022,Import,Minerals,41829.12
United States,Russian Federation,2022,Import,Minerals,33720.98
United States,Morocco,2022,Import,Minerals,33223.42
United States,New Zealand,2022,Import,Minerals,30862.96
United States,"Hong Kong, China",2022,Import,Minerals,30771.91
United States,Tunisia,2022,Import,Minerals,21891.3
United States,Portugal,2022,Import,Minerals,21788.38
United States,Honduras,2022,Import,Minerals,21538.41
